전출지별,전입지별,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
,경기도,-,-,-,-,-,-,-,-,-,-,-,4885,6273,8204,7742,7622,8341,9169,9005,9368,10022,9109,8964,8952,8552,10032,10261,10655,10459,11978,13071,13948,14262,14745,14690,15473,15510,14740,13724,14534,14596,13320,13581,13659,12813,12322,11918,12354
,강원도,-,-,-,-,-,-,-,-,-,-,-,3333,3211,3099,2883,2961,2928,2360,2135,2257,2295,2127,2157,2104,1953,2030,2024,2171,2189,2275,1889,1980,1927,2099,2084,1941,1970,1937,1996,1942,2039,1843,1807,1820,1884,1884,1748,1657
,충청북도,-,-,-,-,-,-,-,-,-,-,-,1748,1805,1933,1692,1632,1655,1847,1637,1862,1858,1898,2349,1733,1538,1728,2023,2093,2063,1939,1824,1852,1744,1857,1902,2004,1743,1919,1762,1880,1784,1849,1943,1958,2026,1957,1771,1824
,충청남도,-,-,-,-,-,-,-,-,-,-,-,2427,2983,3057,3250,3211,3280,3340,3164,1218,1303,1404,1302,1312,1272,1520,1924,2074,2047,1987,2087,2046,2014,2324,3163,2770,2594,2763,2717,2579,2730,2647,2706,2599,2682,2509,2323,2578
,전라북도,-,-,-,-,-,-,-,-,-,-,-,1594,1649,1638,1377,1552,1553,1424,1174,1066,1043,983,941,876,786,922,951,1026,1061,1119,1016,1344,946,1310,959,900,863,999,970,935,860,1003,878,985,996,940,920,911
,전라남도,-,-,-,-,-,-,-,-,-,-,-,1875,1782,1812,1933,1751,1526,1461,1173,1335,1159,1048,960,822,736,937,1030,990,1056,1246,971,1069,920,1053,896,1022,1016,975,904,1012,985,947,977,948,985,953,907,897
,경상북도,-,-,-,-,-,-,-,-,-,-,-,70840,58430,63729,57719,61250,61419,71529,72574,62765,73655,72816,66905,67587,61811,59398,73160,65314,61948,61647,52556,54057,54952,51401,51928,60081,62429,53293,48562,49288,47895,49300,44922,45035,51852,46900,41444,41714
,경상남도,-,-,-,-,-,-,-,-,-,-,-,14182,14746,15522,15649,14750,14816,15424,14707,14144,14981,13585,13357,12768,11350,13068,13238,8674,9150,8853,7977,8373,8300,11259,9590,11978,10639,10734,11343,10599,9521,8821,8965,8941,9374,8922,8313,7704
,제주특별자치도,-,-,-,-,-,-,-,-,-,-,-,294,338,525,408,391,398,466,458,483,654,637,637,551,440,543,631,703,796,801,701,794,822,813,813,838,679,658,618,664,631,643,773,847,1061,1317,1394,1631
인천광역시,전국,-,-,-,-,-,-,-,-,-,-,-,296851,323344,370917,379871,367248,351641,389630,429474,406162,451178,423289,450319,466162,469610,462882,470473,485473,426896,492766,518153,525725,540582,526518,464170,491203,513839,553898,556166,476071,458439,470758,440872,439578,442973,463685,435869,411135
